Title,Course Code,Instructor,Days,Time,Location,Description
Special Topics in Social/Cultural Anthropology: Cities and Disease,ANTHRO 189,James Holston,"TU, TH",3:30 pm - 4:59 pm,Anthro/Art Practice Bldg 221,N/A
Undergraduate Seminar: Islam and the Middle East,ANTHRO 196,Charles Kendal Hirschkind,TH,9:00 am - 10:59 am,Evans 31,N/A
Undergraduate Seminar: Anthropology of Law and Legitimacy,ANTHRO 196,Daena Funahashi,TU,9:00 am - 10:59 am,Social Sciences Building 192,N/A
Undergraduate Seminar: Human Biology: Biocultural Perspectives,ANTHRO 196,Andrew Wooyoung Kim,TU,12:00 pm - 1:59 pm,Dwinelle 104,"Seminar for the advanced study of the subject matter of a previously given upper division course, emphasizing reading and discussion."
"Undergraduate Seminar: Anthropology of Science, Technology and Data",ANTHRO 196,Corinne P Hayden,W,12:00 pm - 1:59 pm,Anthro/Art Practice Bldg 221,N/A
Undergraduate Seminar: Art /Cure: Mental pain and Aesthetic Experience,ANTHRO 196,Stefania Pandolfo,W,2:00 pm - 3:59 pm,Anthro/Art Practice Bldg 221,N/A
Undergraduate Seminar: How People Live with the Gods,ANTHRO 196,Aarti Sethi,W,2:00 pm - 3:59 pm,Anthro/Art Practice Bldg 219,N/A
Undergraduate Seminar: Low-Impact and Non-Invasive Archaeology,ANTHRO 196,Jun U Sunseri,W,10:00 am - 11:59 am,2251 College 101,N/A
Archaeological Research Strategies: History of Theory in Anthropological Archaeology,ANTHRO 229A,Nicholas Clinton Laluk,W,2:00 pm - 4:59 pm,2251 College 101,"Required for all first and second year graduate students in archaeology. Three hours of seminar discussion of major issues in the history and theory of archaeological research and practice (229A), and of the research strategies and design for various kinds of archaeological problems (229B). To be offered alternate semesters."
Special Topics in Archaeology: Ethical issues in CRM,ANTHRO 230,William A White,TU,2:00 pm - 3:59 pm,Anthro/Art Practice Bldg 55,N/A
Fundamentals of Anthropological Theory,ANTHRO 240A,Mariane C Ferme,"TU, TH",2:00 pm - 4:59 pm,Anthro/Art Practice Bldg 219,Anthropological theory and practice--following the rest of the world--have been undergoing important restructuring in the past decade. The course is organized to reflect this fact. We will begin by looking at recent debates about the nature and purpose of anthropology. This will provide a starting point for reading a series of classic ethnographies in new ways as well as examining some dimensions of the current research agenda in cultural anthropology.
Seminars in Social and Cultural Anthropology: Special Topics: Problems in Analysis of Ritual Performance,ANTHRO 250X,William F Hanks,TH,10:00 am - 11:59 am,Anthro/Art Practice Bldg 219,N/A
"Seminars in Social and Cultural Anthropology: Special Topics: HISTORY, TRADITION AND MYTH",ANTHRO 250X,Charles Kendal Hirschkind,TU,12:00 pm - 1:59 pm,Anthro/Art Practice Bldg 219,N/A
"Seminars in Social and Cultural Anthropology: Special Topics: Anthropology of Science, Technology and Data",ANTHRO 250X,Corinne P Hayden,W,12:00 pm - 1:59 pm,Anthro/Art Practice Bldg 221,N/A
Seminars in Social and Cultural Anthropology: Special Topics: ART/CURE,ANTHRO 250X,Stefania Pandolfo,TU,12:00 pm - 2:59 pm,Social Sciences Building 192,N/A
Survey of Anthropological Research,ANTHRO 290,Corinne P Hayden,M,2:00 pm - 3:59 pm,Anthro/Art Practice Bldg 221,Required each term of all registered graduate students prior to their advancement to Ph.D. candidacy.
Professional Development in Anthropological Archaeology,ANTHRO 291,Junko Habu,M,4:00 pm - 5:59 pm,Anthro/Art Practice Bldg 221,Required each term of all registered graduate students in Anthropology specializing in archaeology prior to their advancement to Ph.D. candidacy.
Graduate Pedagogy Seminar,ANTHRO 375,Karen Nakamura,W,9:00 am - 11:59 am,Hearst Field Annex D1,Training in both the logistics and the pedagogical issues of undergraduate teaching.
Elementary Arabic,ARABIC 1A,Amel By Belguith,"M, W, F",9:00 am - 9:59 am,Dwinelle 33,"This course is an elementary course designed for students with no or little knowledge of the Arabic language, letters and sounds. This course is also appropriate for students with some exposure to Arabic colloquial but with no or little training in Modern Standard Arabic. The course teaches skills in speaking, reading, listening and writing Arabic and builds vocabulary and idiomatic expressions that allow students to discuss topics related to self, family and surroundings. The course also exposes students to Arabic cultures and provides opportunity to explore and discuss the various cultures and communities. Using task-based and proficiency-oriented approaches to foreign language instruction, the course also covers basic syntax and grammar"
Elementary Arabic,ARABIC 1A,Haitham S Mohamed,"M, W, F",10:00 am - 10:59 am,Dwinelle B3,"This course is an elementary course designed for students with no or little knowledge of the Arabic language, letters and sounds. This course is also appropriate for students with some exposure to Arabic colloquial but with no or little training in Modern Standard Arabic. The course teaches skills in speaking, reading, listening and writing Arabic and builds vocabulary and idiomatic expressions that allow students to discuss topics related to self, family and surroundings. The course also exposes students to Arabic cultures and provides opportunity to explore and discuss the various cultures and communities. Using task-based and proficiency-oriented approaches to foreign language instruction, the course also covers basic syntax and grammar"
Elementary Arabic,ARABIC 1A,Amel By Belguith,"M, W, F",11:00 am - 11:59 am,Dwinelle B4,"This course is an elementary course designed for students with no or little knowledge of the Arabic language, letters and sounds. This course is also appropriate for students with some exposure to Arabic colloquial but with no or little training in Modern Standard Arabic. The course teaches skills in speaking, reading, listening and writing Arabic and builds vocabulary and idiomatic expressions that allow students to discuss topics related to self, family and surroundings. The course also exposes students to Arabic cultures and provides opportunity to explore and discuss the various cultures and communities. Using task-based and proficiency-oriented approaches to foreign language instruction, the course also covers basic syntax and grammar"
